ID Number,Year published,Title of article,Tags / Keywords,Link,Link (Chammika)
1,2003,New models for online learning,Teacher-content,https://www.thencat.com/Articles/erm0352.pdf,"<a href=""https://www.thencat.com/Articles/erm0352.pdf"" target=""_blank"">Link</a>"
2,2020,Online teaching-learning in higher education during lockdown period of COVID-19 pandemic,Teacher-content,https://www.sciencedirect.com/science/article/pii/S2666374020300121,"<a href=""https://www.sciencedirect.com/science/article/pii/S2666374020300121"" target=""_blank"">Link</a>"
3,2020,Assessment of the web-based audience response system socrative for biomedical science revision classes,Teacher-student,https://www.sciencedirect.com/science/article/pii/S266637402030008X,"<a href=""https://www.sciencedirect.com/science/article/pii/S266637402030008X"" target=""_blank"">Link</a>"
4,2020,"Canadian teachers’ attitudes toward change, efficacy, and burnout during the COVID-19 pandemic",Perspectives on teachers,https://www.sciencedirect.com/science/article/pii/S2666374020300169,"<a href=""https://www.sciencedirect.com/science/article/pii/S2666374020300169"" target=""_blank"">Link</a>"
5,2020,Effective Distance Learning Pedagogy In Developing Countries,"Structure, distance learning",https://elearningindustry.com/distance-learning-pedagogy-developing-countries,"<a href=""https://elearningindustry.com/distance-learning-pedagogy-developing-countries"" target=""_blank"">Link</a>"
6,1989,Editorial: Three types of interaction,Structure,https://www.tandfonline.com/doi/abs/10.1080/08923648909526659,"<a href=""https://www.tandfonline.com/doi/abs/10.1080/08923648909526659"" target=""_blank"">Link</a>"
7,2010,The Indicators of Instructor Presence that are Important to Students in Online Courses,Teacher-Content / Teacher-student ,https://jolt.merlot.org/vol6no4/sheridan_1210.htm,"<a href=""https://jolt.merlot.org/vol6no4/sheridan_1210.htm"" target=""_blank"">Link</a>"
8,2020,A Blueprint for Executing Instructor-Student Interactions in the Online Classroom Using Marketing Touchpoints,Teacher - student,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557839,"<a href=""https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557839"" target=""_blank"">Link</a>"
9,2021,Instructional Strategies for Online Teaching in COVID-19 Pandemic,"Teacher-content, teacher-student",https://onlinelibrary.wiley.com/doi/10.1002/hbe2.218,"<a href=""https://onlinelibrary.wiley.com/doi/10.1002/hbe2.218"" target=""_blank"">Link</a>"
10,2021,Instructional Strategies for Online Courses,Teacher-content,https://www.uis.edu/ion/resources/tutorials/pedagogy/instructional-strategies-for-online-courses/,"<a href=""https://www.uis.edu/ion/resources/tutorials/pedagogy/instructional-strategies-for-online-courses/"" target=""_blank"">Link</a>"
11,2017,Instructional strategies and course design for teaching statistics online: perspectives from online students,"Teacher-content, student-student",https://stemeducationjournal.springeropen.com/articles/10.1186/s40594-017-0096-x,"<a href=""https://stemeducationjournal.springeropen.com/articles/10.1186/s40594-017-0096-x"" target=""_blank"">Link</a>"
12,2020,Business (Teaching) as Usual Amid the COVID-19 Pandemic: A Case Study of Online Teaching Practice in Hong Kong,"Teacher-content, teacher-student",https://www.informingscience.org/Publications/4620,"<a href=""https://www.informingscience.org/Publications/4620"" target=""_blank"">Link</a>"
13,2020,The Perceptions of Primary School Teachers of Online Learning during the COVID-19 Pandemic Period: A Case Study in Indonesia,"Teacher-content, teacher-student",http://www.ejecs.org/index.php/JECS/article/view/388,"<a href=""http://www.ejecs.org/index.php/JECS/article/view/388"" target=""_blank"">Link</a>"
14,2020,Faculty persistence with research-based instructional strategies: a case study of participation in a faculty online learning community,Teacher-content,https://stemeducationjournal.springeropen.com/articles/10.1186/s40594-020-00221-8,"<a href=""https://stemeducationjournal.springeropen.com/articles/10.1186/s40594-020-00221-8"" target=""_blank"">Link</a>"
15,2020,Gamification as Online Teaching Strategy During COVID-19: A Mini-Review,Teacher-content,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.648552/full,"<a href=""https://www.frontiersin.org/articles/10.3389/fpsyg.2021.648552/full"" target=""_blank"">Link</a>"
16,2020,Online Teaching in Medical Training: Establishing Good Online Teaching Practices from Cumulative Experience,"Teacher-content, student-content",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7534709/,"<a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7534709/"" target=""_blank"">Link</a>"
17,2021,"LAB Theory, HLAB Pedagogy, and Review of Laboratory Learning in Chemistry during the COVID-19 Pandemic",Teacher-content,https://pubs.acs.org/doi/full/10.1021/acs.jchemed.1c00457,"<a href=""https://pubs.acs.org/doi/full/10.1021/acs.jchemed.1c00457"" target=""_blank"">Link</a>"
18,2021,Online Language Learning and Teacher-Student Interaction: Experience of Students and Instructors,Teacher - student,http://ir.lib.seu.ac.lk/bitstream/handle/123456789/5640/Online%20learning%20paper.pdf?sequence=1&isAllowed=y,"<a href=""http://ir.lib.seu.ac.lk/bitstream/handle/123456789/5640/Online%20learning%20paper.pdf?sequence=1&isAllowed=y"" target=""_blank"">Link</a>"
19,2020,Peer Feedback in Learner-Learner Interaction Practices. Mixed Methods Study on an xMOOC,Student - student ,https://repositorio.tec.mx/handle/11285/637486,"<a href=""https://repositorio.tec.mx/handle/11285/637486"" target=""_blank"">Link</a>"
20,2020,"The impact of COVID-19 on higher education: A study of interaction among Kosovar students’ mental health, attitudes toward online learning, study skills, and lifestyle changes",Teacher - student,https://www.researchgate.net/profile/Zamira-Hyseni-Duraku-2/publication/341599684_The_impact_of_COVID-19_on_higher_education_A_study_of_interaction_among_Kosovar_students'_mental_health_attitudes_toward_online_learning_study_skills_and_lifestyle_changes/links/6107eca30c2bfa282a175d90/The-impact-of-COVID-19-on-higher-education-A-study-of-interaction-among-Kosovar-students-mental-health-attitudes-toward-online-learning-study-skills-and-lifestyle-changes.pdf,"<a href=""https://www.researchgate.net/profile/Zamira-Hyseni-Duraku-2/publication/341599684_The_impact_of_COVID-19_on_higher_education_A_study_of_interaction_among_Kosovar_students'_mental_health_attitudes_toward_online_learning_study_skills_and_lifestyle_changes/links/6107eca30c2bfa282a175d90/The-impact-of-COVID-19-on-higher-education-A-study-of-interaction-among-Kosovar-students-mental-health-attitudes-toward-online-learning-study-skills-and-lifestyle-changes.pdf"" target=""_blank"">Link</a>"
21,2002,Becoming a Virtual Professor: Pedagogical Roles and Asynchronous Learning Networks,Teacher - student,https://www.tandfonline.com/doi/abs/10.1080/07421222.2002.11045703,"<a href=""https://www.tandfonline.com/doi/abs/10.1080/07421222.2002.11045703"" target=""_blank"">Link</a>"
22,2020,A critical approach to humanizing pedagogies in online teaching and learning,"Teacher-student, student-content",https://www.emerald.com/insight/content/doi/10.1108/IJILT-10-2019-0099/full/html,"<a href=""https://www.emerald.com/insight/content/doi/10.1108/IJILT-10-2019-0099/full/html"" target=""_blank"">Link</a>"
23,2015,Building Rapport to Improve Retention and Success in Online Classes,Teacher - student,https://www.tandfonline.com/doi/abs/10.1080/15512169.2016.1155994,"<a href=""https://www.tandfonline.com/doi/abs/10.1080/15512169.2016.1155994"" target=""_blank"">Link</a>"
24,2015,The Art of Giving Online Feedback,Teacher - student,https://files.eric.ed.gov/fulltext/EJ1060438.pdf,"<a href=""https://files.eric.ed.gov/fulltext/EJ1060438.pdf"" target=""_blank"">Link</a>"
25,2008,Student Perceptions of Using Instant Messaging Software to Facilitate Synchronous Online Class Interaction in a Graduate Teacher Education Course,Teacher - student,https://www.tandfonline.com/doi/abs/10.1080/10402454.2008.10784604,"<a href=""https://www.tandfonline.com/doi/abs/10.1080/10402454.2008.10784604"" target=""_blank"">Link</a>"
26,2019,"What to expect, and how to improve online discussion forums: the instructors’ perspective",Student - student ,https://link.springer.com/article/10.1186/s13174-019-0120-0,"<a href=""https://link.springer.com/article/10.1186/s13174-019-0120-0"" target=""_blank"">Link</a>"
27,2007,PRAZE: Innovating teaching through online peer review,Student - student ,https://people.eng.unimelb.edu.au/jonmp/pubs/ascilite2007/Mulder%20&%20Pearce%20ASCILITE%202007.pdf,"<a href=""https://people.eng.unimelb.edu.au/jonmp/pubs/ascilite2007/Mulder%20&%20Pearce%20ASCILITE%202007.pdf"" target=""_blank"">Link</a>"
28,2020,Coping with Coronavirus,Teacher - student ,https://connect.chronicle.com/rs/931-EKA-218/images/CopingwithCoronavirus_Collection.pdf,"<a href=""https://connect.chronicle.com/rs/931-EKA-218/images/CopingwithCoronavirus_Collection.pdf"" target=""_blank"">Link</a>"
29,2014,"Peerwise provides significant academic benefits to biological science students across diverse learning tasks, but with minimal instructor intervention",Student - student ,https://iubmb.onlinelibrary.wiley.com/doi/full/10.1002/bmb.20806,"<a href=""https://iubmb.onlinelibrary.wiley.com/doi/full/10.1002/bmb.20806"" target=""_blank"">Link</a>"
30,2012,Student-generated content: Using PeerWise to enhance engagement and outcomes in introductory physics courses,Student - student ,https://aip.scitation.org/doi/abs/10.1063/1.3680009,"<a href=""https://aip.scitation.org/doi/abs/10.1063/1.3680009"" target=""_blank"">Link</a>"
31,2019,"Student use of PeerWise: A multi-institutional, multidisciplinary evaluation",Student - student ,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bjet.12754,"<a href=""https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bjet.12754"" target=""_blank"">Link</a>"
32,2014,STUDENT-TO -STUDENT INTERACTION ONLINE,Student - student ,https://www.rit.edu/academicaffairs/tls/sites/rit.edu.academicaffairs.tls/files/docs/TE_Student%20to%20Student%20Interaction_1.0.pdf,"<a href=""https://www.rit.edu/academicaffairs/tls/sites/rit.edu.academicaffairs.tls/files/docs/TE_Student%20to%20Student%20Interaction_1.0.pdf"" target=""_blank"">Link</a>"
33,2021,The Challenges of Assessing and Evaluating the Students at Distance,"Student-content, distance learning","https://arxiv.org/abs/2102.04235 
https://arxiv.org/pdf/2102.04235.pdf","<a href=""https://arxiv.org/abs/2102.04235 
https://arxiv.org/pdf/2102.04235.pdf"" target=""_blank"">Link</a>"
34,2021,"The experiences, challenges, and acceptance of e-learning as a tool for teaching during the COVID-19 pandemic among university medical staff",Student-content,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248758,"<a href=""https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248758"" target=""_blank"">Link</a>"
35,2020,"Advantages, Limitations and Recommendations for online learning during COVID-19 pandemic era","Teacher-content, student-content",http://pjms.org.pk/index.php/pjms/article/view/2785,"<a href=""http://pjms.org.pk/index.php/pjms/article/view/2785"" target=""_blank"">Link</a>"
36,2015,Challenges facing group work online,"Teacher - student, student-student",https://www.tandfonline.com/doi/abs/10.1080/01587919.2016.1154781,"<a href=""https://www.tandfonline.com/doi/abs/10.1080/01587919.2016.1154781"" target=""_blank"">Link</a>"
37,2020,Coping with Coronavirus,Teacher- student,https://connect.chronicle.com/rs/931-EKA-218/images/CopingwithCoronavirus_Collection.pdf,"<a href=""https://connect.chronicle.com/rs/931-EKA-218/images/CopingwithCoronavirus_Collection.pdf"" target=""_blank"">Link</a>"
38,,Trauma-Informed School Strategies during COVID-19,Teacher- student,https://www.nctsn.org/sites/default/files/resources/resource-guide/trauma_informed_school_strategies_during_covid-19.pdf,"<a href=""https://www.nctsn.org/sites/default/files/resources/resource-guide/trauma_informed_school_strategies_during_covid-19.pdf"" target=""_blank"">Link</a>"
39,2020,Thinking Beyond Zoom: Using Asynchronous Video to Maintain Connection and Engagement During the COVID-19 Pandemic,"Student-content, student-student",https://www.learntechlib.org/p/216192/,"<a href=""https://www.learntechlib.org/p/216192/"" target=""_blank"">Link</a>"
40,2021,Synchronous or asynchronous? Various online learning platforms studied in Indonesia 2015-2020,Teacher-content,https://iopscience.iop.org/article/10.1088/1742-6596/1987/1/012016/meta,"<a href=""https://iopscience.iop.org/article/10.1088/1742-6596/1987/1/012016/meta"" target=""_blank"">Link</a>"
41,2020,Learning without Borders: Asynchronous and Distance Learning in the Age of COVID-19 and Beyond,Teacher-content,https://www.atsjournals.org/doi/full/10.34197/ats-scholar.2020-0046PS,"<a href=""https://www.atsjournals.org/doi/full/10.34197/ats-scholar.2020-0046PS"" target=""_blank"">Link</a>"
42,2015,Practical Strategies for Effective Lectures,Attention span,https://www.atsjournals.org/doi/10.1513/AnnalsATS.201501-024AR?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,"<a href=""https://www.atsjournals.org/doi/10.1513/AnnalsATS.201501-024AR?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed"" target=""_blank"">Link</a>"
43,2015,Lost in Translation: Adapting a Face-to-Face Course Into an Online Learning Experience,"Curriculum, Teacher-content",https://journals.sagepub.com/stoken/default+domain/10.1177%2F1524839915588295/full?_gl=1*bq4xu1*_ga*MTU4OTY2NzIyNC4xNjMxNTMyNTQw*_ga_60R758KFDG*MTYzMjEwMDkwOC4yLjAuMTYzMjEwMDkwOC4w*_ga_RK7MQ5ZZVZ*MTYzMjEwMDkwOC4yLjAuMTYzMjEwMDkwOC4w,"<a href=""https://journals.sagepub.com/stoken/default+domain/10.1177%2F1524839915588295/full?_gl=1*bq4xu1*_ga*MTU4OTY2NzIyNC4xNjMxNTMyNTQw*_ga_60R758KFDG*MTYzMjEwMDkwOC4yLjAuMTYzMjEwMDkwOC4w*_ga_RK7MQ5ZZVZ*MTYzMjEwMDkwOC4yLjAuMTYzMjEwMDkwOC4w"" target=""_blank"">Link</a>"
44,2020,Online University Teaching During and After the Covid-19 Crisis: Refocusing Teacher Presence and Learning Activity,Teacher-content,https://link.springer.com/article/10.1007/s42438-020-00155-y,"<a href=""https://link.springer.com/article/10.1007/s42438-020-00155-y"" target=""_blank"">Link</a>"
45,2016,E-assessment process: giving a voice to online learners,Assessments,https://educationaltechnologyjournal.springeropen.com/articles/10.1186/s41239-016-0019-9,"<a href=""https://educationaltechnologyjournal.springeropen.com/articles/10.1186/s41239-016-0019-9"" target=""_blank"">Link</a>"
46,2017,"Applying Best Practice Online Learning, Teaching, and Support to Intensive Online Environments: An Integrative Review",Teacher-content,https://www.frontiersin.org/articles/10.3389/feduc.2017.00059/full,"<a href=""https://www.frontiersin.org/articles/10.3389/feduc.2017.00059/full"" target=""_blank"">Link</a>"
47,ND,Designing and Fostering Effective Online Group Projects,Teacher-student,https://journals.sagepub.com/doi/abs/10.1177/104515951102200202,"<a href=""https://journals.sagepub.com/doi/abs/10.1177/104515951102200202"" target=""_blank"">Link</a>"
* Last updated 8/10/2021,,,,,